datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-09-04T07:00:00+00:00,04,09,2023,2023-09-04,08:00,547117.277144,491328.5054,204708.2474,66994.7204,1310148.750344
2023-09-04T12:45:00+00:00,04,09,2023,2023-09-04,13:45,750433.636242,605588.5153,199015.5683,83976.538,1639014.2578419999
2023-09-05T08:30:00+00:00,05,09,2023,2023-09-05,09:30,675522.894955,651194.8601,198698.5906,98273.1564,1623689.502055
2023-09-05T08:45:00+00:00,05,09,2023,2023-09-05,09:45,681616.727774,648559.5466,197695.6543,83229.3265,1611101.255174
2023-09-05T10:00:00+00:00,05,09,2023,2023-09-05,11:00,709051.082768,641669.7916,190211.6816,73909.1855,1614841.7414679998
2023-09-05T10:30:00+00:00,05,09,2023,2023-09-05,11:30,729758.547433,640361.8856,187881.8408,74807.4753,1632809.7491330002
2023-09-06T03:30:00+00:00,06,09,2023,2023-09-06,04:30,462923.886665,413242.5984,199317.1082,64135.1613,1139618.754565
2023-09-08T07:00:00+00:00,08,09,2023,2023-09-08,08:00,570911.021425,555601.4023,214903.7585,83716.8216,1425133.003825
2023-09-08T08:00:00+00:00,08,09,2023,2023-09-08,09:00,653947.439959,644214.4468,210012.3439,90455.2761,1598629.5067589998
2023-09-08T15:00:00+00:00,08,09,2023,2023-09-08,16:00,720368.862644,643158.8819,203472.4896,93684.7733,1660685.0074439999
2023-09-09T02:45:00+00:00,09,09,2023,2023-09-09,03:45,481939.423651,376982.0345,190669.1072,76041.9389,1125632.504251
2023-09-10T07:00:00+00:00,10,09,2023,2023-09-10,08:00,463829.317066,308595.7118,192866.4656,78482.5097,1043774.004166
2023-09-10T10:15:00+00:00,10,09,2023,2023-09-10,11:15,684720.887806,322066.05,184126.977,85880.5801,1276794.4949059999
2023-09-10T21:30:00+00:00,10,09,2023,2023-09-10,22:30,728114.065202,339169.2353,199621.5605,62960.1485,1329865.0095019997
